price_date,island,fuel_code,pop_weighted_avg_nzd_per_l,year,month,season
2024-04-05,North,P98,3.194,2024,4,Autumn
2024-04-05,South,DSL,2.161,2024,4,Autumn
2024-04-05,South,P91,2.847,2024,4,Autumn
2024-04-05,South,P95,3.008,2024,4,Autumn
2024-04-05,South,P98,3.185,2024,4,Autumn
2024-04-12,North,DSL,2.189,2024,4,Autumn
2024-04-12,North,P91,2.879,2024,4,Autumn
2024-04-12,North,P95,3.055,2024,4,Autumn
2024-04-12,North,P98,3.217,2024,4,Autumn
2024-04-12,South,DSL,2.158,2024,4,Autumn
2024-04-12,South,P91,2.843,2024,4,Autumn
2024-04-12,South,P95,3.018,2024,4,Autumn
2024-04-12,South,P98,3.195,2024,4,Autumn
2024-04-19,North,DSL,2.194,2024,4,Autumn
2024-04-19,North,P91,2.876,2024,4,Autumn
2024-04-19,North,P95,3.041,2024,4,Autumn
2024-04-19,North,P98,3.212,2024,4,Autumn
2024-04-19,South,DSL,2.178,2024,4,Autumn
2024-04-19,South,P91,2.852,2024,4,Autumn
2024-04-19,South,P95,3.016,2024,4,Autumn
2024-04-19,South,P98,3.2,2024,4,Autumn
2024-04-26,North,DSL,2.19,2024,4,Autumn
2024-04-26,North,P91,2.867,2024,4,Autumn
2024-04-26,North,P95,3.04,2024,4,Autumn
2024-04-26,North,P98,3.215,2024,4,Autumn
2024-04-26,South,DSL,2.168,2024,4,Autumn
2024-04-26,South,P91,2.843,2024,4,Autumn
2024-04-26,South,P95,3.014,2024,4,Autumn
2024-04-26,South,P98,3.181,2024,4,Autumn
2024-05-03,North,DSL,2.178,2024,5,Autumn
2024-05-03,North,P91,2.865,2024,5,Autumn
2024-05-03,North,P95,3.033,2024,5,Autumn
2024-05-03,North,P98,3.205,2024,5,Autumn
2024-05-03,South,DSL,2.175,2024,5,Autumn
2024-05-03,South,P91,2.836,2024,5,Autumn
2024-05-03,South,P95,3.007,2024,5,Autumn
2024-05-03,South,P98,3.174,2024,5,Autumn
2024-05-10,North,DSL,2.171,2024,5,Autumn
2024-05-10,North,P91,2.837,2024,5,Autumn
2024-05-10,North,P95,3.013,2024,5,Autumn
2024-05-10,North,P98,3.186,2024,5,Autumn
2024-05-10,South,DSL,2.146,2024,5,Autumn
2024-05-10,South,P91,2.819,2024,5,Autumn
2024-05-10,South,P95,3.003,2024,5,Autumn
2024-05-10,South,P98,3.161,2024,5,Autumn
2024-05-17,North,DSL,2.128,2024,5,Autumn
2024-05-17,North,P91,2.808,2024,5,Autumn
2024-05-17,North,P95,2.975,2024,5,Autumn
2024-05-17,North,P98,3.149,2024,5,Autumn
2024-05-17,South,DSL,2.118,2024,5,Autumn
2024-05-17,South,P91,2.793,2024,5,Autumn
2024-05-17,South,P95,2.973,2024,5,Autumn
2024-05-17,South,P98,3.121,2024,5,Autumn
2024-05-24,North,DSL,2.102,2024,5,Autumn
2024-05-24,North,P91,2.769,2024,5,Autumn
2024-05-24,North,P95,2.943,2024,5,Autumn
2024-05-24,North,P98,3.122,2024,5,Autumn
2024-05-24,South,DSL,2.088,2024,5,Autumn
2024-05-24,South,P91,2.753,2024,5,Autumn
2024-05-24,South,P95,2.931,2024,5,Autumn
2024-05-24,South,P98,3.104,2024,5,Autumn
2024-05-31,North,DSL,2.091,2024,5,Autumn
2024-05-31,North,P91,2.759,2024,5,Autumn
2024-05-31,North,P95,2.94,2024,5,Autumn
2024-05-31,North,P98,3.091,2024,5,Autumn
2024-05-31,South,DSL,2.08,2024,5,Autumn
2024-05-31,South,P91,2.75,2024,5,Autumn
2024-05-31,South,P95,2.898,2024,5,Autumn
2024-05-31,South,P98,3.076,2024,5,Autumn
2024-06-07,North,DSL,2.037,2024,6,Winter
2024-06-07,North,P91,2.707,2024,6,Winter
2024-06-07,North,P95,2.882,2024,6,Winter
2024-06-07,North,P98,3.06,2024,6,Winter
2024-06-07,South,DSL,2.009,2024,6,Winter
2024-06-07,South,P91,2.694,2024,6,Winter
